Sample,Phenotype
GH0428,29.64969773
GH0429,28.53370482
GH0430,30.95378422
GH0431,29.77042831
GH0432,29.68545842
GH0433,28.74872682
GH0434,30.24239467
GH0435,28.77854055
GH0436,28.42852737
GH0437,26.86151774
GH0438,27.76069983
GH0440,31.35563933
GH0441,28.88467743
GH0442,28.24070087
GH0443,28.99141058
GH0444,27.48283587
GH0445,30.35955288
GH0446,29.19829771
GH0447,26.98908057
GH0448,30.25849408
GH0449,29.88701501
GH0450,29.33424954
GH0451,28.23530562
GH0452,28.99498823
GH0453,28.38825143
GH0454,28.12084968
GH0455,29.77491539
GH0456,27.63488589
GH0457,30.88160103
GH0458,27.12447484
GH0459,30.88398613
GH0460,28.33160483
GH0461,30.57094197
GH0462,27.64143797
GH0463,30.28890409
GH0464,29.26808199
GH0465,30.32348801
GH0466,26.54157248
GH0467,30.06470484
GH0468,27.47329547
GH0469,28.42223938
GH0470,28.7961069
GH0471,26.5293928
GH0472,30.54912514
GH0473,27.7565259
GH0474,29.43054875
GH0475,27.08154307
GH0476,28.49264059
GH0477,29.71378171
GH0478,31.40751486
GH0479,27.36861274
GH0480,30.46517251
GH0481,29.3115909
GH0482,31.41049659
GH0483,27.08878751
GH0484,30.56914528
GH0485,27.21000228
GH0486,26.41694997
GH0487,28.09282477
GH0488,27.23266092
GH0489,29.04535191
GH0490,27.87276742
GH0491,27.78213288
GH0492,29.58915921
GH0493,27.68583367
GH0494,27.71982162
GH0495,28.60442837
GH0496,28.83876428
GH0497,27.46256253
GH0498,29.65147046
GH0499,27.44791797
GH0500,29.38852946
GH0501,29.15657864
GH0502,29.52090241
GH0503,27.29497217
GH0504,27.3647735
GH0505,28.11068312
GH0506,28.73379565
GH0507,27.77646822
GH0508,29.37839279
GH0509,29.35124352
GH0510,28.27230342
GH0511,29.29908827
GH0512,29.4525045
GH0513,27.65751037
GH0514,27.62352241
GH0515,29.35633063
GH0516,28.92639406
GH0517,29.08323687
GH0518,27.69809099
GH0519,28.60350848
GH0520,29.37956681
GH0521,28.70547235
GH0522,31.80284527
GH0523,27.04572716
GH0524,27.73115094
GH0525,31.57029818
GH0526,28.21831165
GH0527,26.99474523
GH0528,30.11121426
GH0529,23.51220386
GH0530,27.13636171
GH0531,26.88417618
GH0532,27.94074334
GH0533,27.02146179
GH0534,28.69278367
GH0535,27.64323373
GH0536,28.17299437
GH0537,28.47801816
GH0538,29.44187807
GH0539,27.44225331
GH0540,27.5272232
GH0541,30.01104013
GH0542,29.82559873
GH0543,32.24110709
GH0544,28.28840284
GH0545,31.40811149
GH0546,29.56681556
GH0547,27.77080356
GH0548,29.12855373
GH0549,29.26092669
GH0550,27.98641289
GH0551,29.67175989
GH0552,29.54117575
GH0553,31.99007549
GH0554,28.50067659
GH0555,28.03704255
GH0556,27.17034967
GH0557,30.41412175
GH0558,28.01173143
GH0559,28.10501846
GH0560,27.35728342
GH0561,28.23950832
GH0562,28.68281371
GH0563,30.37692118
GH0564,28.43517981
GH0565,28.9207294
GH0566,29.13598646
GH0567,24.34934931
GH0568,27.96939593
GH0569,28.85784507
GH0570,27.49889991
GH0571,27.99563201
GH0572,28.09368914
GH0573,27.19867296
GH0574,27.18714848
GH0575,28.56952053
GH0576,28.777348
GH0577,28.98101462
GH0578,28.45622734
GH0579,28.74125008
GH0580,29.92577286
GH0581,28.70547235
GH0582,27.43659352
GH0583,32.79325736
GH0585,27.95508534
GH0587,32.03956628
GH0588,29.11722452
GH0589,27.73115094
GH0590,27.77646822
GH0591,30.24960233
GH0592,28.17865903
GH0593,27.99205437
GH0594,28.91627998
GH0595,26.44855667
GH0596,28.59965817
GH0597,29.53817727
GH0599,27.65751037
GH0600,28.06536584
GH0602,27.37550644
GH0603,29.69918852
GH0604,28.19438432
GH0605,28.12681242
GH0606,25.57858039
GH0607,28.47563306
GH0608,29.44457927
GH0609,28.24043851
GH0610,27.0683858
GH0611,27.41393002
GH0612,28.26932205
GH0613,27.52586595
GH0614,26.14504632
GH0615,27.99172527
GH0616,29.40462887
GH0617,27.83761925
GH0618,30.44452277
GH0619,29.32858488
GH0620,27.32329547
GH0621,29.64194616
GH0622,28.24359801
GH0623,28.977376
GH0624,27.79912685
GH0625,27.32896013
GH0626,29.58708889
GH0627,30.8166071
GH0628,27.93507868
GH0629,27.34028945
GH0630,28.98783293
GH0631,27.93481201
GH0632,29.28223163
GH0633,29.63956106
GH0634,28.21506106
GH0635,28.49462489
GH0636,29.16997442
GH0637,26.26405061
GH0638,25.82638506
GH0639,31.04319144
GH0641,26.4962552
GH0642,28.35992813
GH0645,27.00607454
GH0646,27.64618105
GH0649,28.33726949
GH0650,28.17865903
GH0651,30.88398613
GH0652,26.90334985
GH0653,27.07971512
GH0656,26.87578738
GH0657,29.91325109
GH0658,27.15335569
GH0660,27.72600902
GH0661,29.39508848
GH0662,30.24059503
GH0663,28.75283178
GH0664,27.50728312
GH0665,27.24267035
GH0666,26.92110465
GH0667,28.977376
GH0668,30.76740835
GH0669,29.45887204
GH0670,27.70295923
GH0671,27.07021385
GH0672,26.90683461
GH0673,28.89958429
GH0674,27.83877947
GH0675,28.98304066
GH0676,27.17034967
GH0677,27.35728342
GH0678,27.70882394
GH0679,29.48153068
GH0680,29.51551864
GH0681,29.41091302
GH0682,28.81550957
GH0683,27.59076157
GH0684,28.13516027
GH0685,28.87573331
GH0686,31.63574432
GH0687,29.37270096
GH0688,28.23712322
GH0689,29.26450434
GH0690,30.21735114
GH0691,27.13069705
GH0692,27.8340416
GH0693,27.74814492
GH0694,29.06234589
GH0695,27.01240592
GH0696,28.33726949
GH0697,27.98039595
GH0698,29.92518711
GH0699,29.47797064
GH0700,27.05799638
GH0701,28.25796426
GH0702,29.5775485
GH0703,28.80983446
GH0704,29.37956681
GH0705,28.68611799
GH0706,30.22926572
GH0707,29.06801055
GH0708,27.96879966
GH0709,28.12201244
GH0710,27.35238586
GH0711,29.35690818
GH0712,31.0959586
GH0713,26.33198008
GH0714,26.80367911
GH0715,28.13337144
GH0716,27.33376722
GH0717,30.44452277
GH0718,27.82610652
GH0719,28.04452653
GH0720,29.05585881
GH0721,27.8527131
GH0722,29.70811705
GH0723,27.57820514
GH0724,28.69863976
GH0725,28.98544783
GH0726,27.61785775
GH0727,27.5555465
GH0728,27.43658865
GH0729,26.36030338
GH0730,29.23647944
GH0731,28.45058953
GH0732,27.11351825
GH0733,30.36604918
GH0734,28.90295207
GH0735,29.97435604
GH0736,28.81310088
GH0737,29.2209763
GH0738,29.61928772
GH0739,29.40999534
GH0740,27.41393002
GH0741,28.09368914
GH0742,27.55498347
GH0743,29.24925424
GH0744,28.9276092
GH0745,28.2806229
GH0746,30.06318882
GH0747,28.43508639
GH0748,29.23228567
GH0749,28.65391916
GH0750,27.24399024
GH0751,28.2305642
GH0752,27.47057661
GH0753,28.40706148
GH0754,29.10529903
GH0755,26.96642193
GH0756,27.7651389
GH0757,26.49059054
GH0758,28.51287393
GH0759,27.237635
GH0760,27.69149833
GH0761,29.5823187
GH0762,26.5529018
GH0763,29.83273956
GH0764,27.36294808
GH0765,27.17034967
GH0766,26.25868413
GH0767,29.13093883
GH0768,28.59131033
GH0769,26.51891384
GH0770,26.73983555
GH0771,30.30559977
GH0772,28.13334175
GH0773,29.01103868
GH0774,28.73946031
GH0775,26.43960861
GH0776,27.38855503
GH0777,27.66291079
GH0778,30.52264373
GH0779,29.25019375
GH0780,28.66822975
GH0781,25.69753823
GH0782,27.26098421
GH0783,30.96000677
GH0784,26.90977533
GH0785,26.23178043
GH0786,30.61432334
GH0787,27.30567222
GH0788,27.27797819
GH0789,29.09635491
GH0790,26.92110465
GH0791,28.44224168
GH0792,28.84708883
GH0793,28.93893842
GH0795,28.11369438
GH0796,28.16732971
GH0797,25.24143968
GH0798,29.05938588
GH0799,28.2239763
GH0800,29.64254243
GH0801,28.92639406
GH0802,27.48757059
GH0803,27.75603308
GH0804,29.48929986
GH0805,28.58174331
GH0806,29.80651794
GH0807,25.82340368
GH0808,30.10405896
GH0809,27.16919543
GH0810,28.96038202
GH0811,28.41091006
GH0812,27.73386747
GH0813,28.70547235
GH0814,28.24663494
GH0815,28.41091006
GH0816,27.34028945
GH0817,26.23960335
GH0818,27.24074838
GH0819,28.29448182
GH0820,26.85312874
GH0821,26.42296493
GH0822,27.45358263
GH0823,27.7940912
GH0824,29.24448157
GH0825,29.07367521
GH0826,28.72162318
GH0827,26.08839973
GH0828,27.00402737
GH0829,27.23832558
GH0835,27.91197241
GH0836,29.1019985
GH0837,27.0400625
GH0838,26.64514296
GH0839,26.97208659
GH0840,28.27495824
GH0841,28.66405583
GH0842,26.40562065
GH0843,28.52956961
GH0844,26.66053032
GH0845,30.09190474
GH0846,27.61878647
GH0847,28.70162113
GH0848,27.41393002
GH0849,29.06234589
GH0850,29.07367521
GH0851,28.49769522
GH0852,28.8900439
GH0853,28.57521092
GH0854,29.62081812
GH0855,27.13069705
GH0856,26.42261463
GH0857,28.44283796
GH0858,29.61860354
GH0859,28.64139739
GH0860,29.16430976
GH0861,27.60086378
GH0862,28.85160279
GH0863,26.72675969
GH0864,27.47057661
GH0865,27.39693604
GH0866,27.92941402
GH0867,28.75645428
GH0868,26.95509261
GH0869,29.45889293
GH0870,28.72308701
GH0871,29.89774796
GH0872,28.68281371
GH0873,26.41729317
GH0874,28.75528584
GH0875,27.75947424
GH0876,28.58832896
GH0877,26.22435155
GH0878,28.94072724
GH0879,28.49531012
GH0880,26.9658658
GH0881,30.28299966
GH0882,27.79912685
GH0883,27.06272114
GH0884,27.13310518
GH0885,28.00815378
GH0886,27.35292749
GH0887,29.1363053
GH0888,27.74248026
GH0889,27.48760606
GH0890,28.88674145
GH0891,26.70018294
GH0892,24.46628272
GH0893,29.76120107
GH0894,29.23290179
GH0895,26.77382351
GH0896,26.79648215
GH0897,26.24134553
GH0898,29.4040326
GH0899,29.10947295
GH0900,27.81734591
GH0901,29.62881182
GH0902,28.53762803
GH0903,28.08235982
GH0904,27.44791797
GH0905,28.18432369
GH0906,27.3459541
GH0907,29.14644197
GH0908,28.34743402
GH0909,28.3128501
GH0910,27.28165297
GH0911,27.96906663
GH0912,28.31404264
GH0913,28.86974747
GH0914,26.79648215
GH0915,28.35160794
GH0916,28.90600313
GH0917,28.62291288
GH0918,27.10455969
GH0919,29.11603197
GH0920,26.94942795
GH0921,26.65211723
GH0922,27.86143811
GH0923,28.10501846
GH0924,27.38560672
GH0925,26.66057321
GH0926,27.59519912
GH0927,28.1226385
GH0928,27.52155854
GH0929,27.48190593
GH0930,28.36114834
GH0931,26.76249419
GH0932,27.97834005
GH0933,28.21088714
GH0934,28.10135839
GH0935,29.20396237
GH0936,29.6127287
GH0937,27.68583367
GH0938,28.63183178
GH0939,26.84746408
GH0940,28.554673
GH0941,27.45481096
GH0942,28.0570483
GH0943,28.60740974
GH0944,27.69272452
GH0945,28.46072619
GH0946,29.46127496
GH0947,27.58953446
GH0948,27.09670909
GH0949,29.67979376
GH0950,29.44756064
GH0951,27.51681194
GH0952,29.20962703
GH0953,27.40412762
GH0954,27.07677287
GH0955,27.89542606
GH0956,27.40872347
GH0958,29.89330578
GH0959,29.65713512
GH0960,26.16685785
GH0961,28.83575951
GH0962,27.51589389
GH0963,26.39995599
GH0964,27.19867296
GH0965,26.18176471
GH0966,27.71982162
GH0967,29.53817727
GH0968,27.75947424
GH0969,28.1602038
GH0970,27.53288786
GH0971,28.83101271
GH0972,27.10150863
GH0973,28.84708883
GH0974,28.76840388
GH0975,27.09104443
GH0976,28.15600039
GH0977,29.01764666
GH0978,27.84444413
GH0979,27.33138212
GH0980,29.45113829
GH0981,26.66619498
GH0982,29.35992411
GH0983,28.94430489
GH0984,27.39697233
GH0985,26.52343005
GH0986,28.29853951
GH0987,28.96604668
GH0988,28.93205872
GH0989,27.81555709
GH0990,27.22918216
GH0991,29.35931774
GH0992,26.56423111
GH0993,26.30365678
GH0994,27.32896013
GH0995,27.68998015
GH0996,26.85312874
GH0997,26.59821907
GH0998,28.92562127
GH0999,27.96925254
GH1000,27.55737019
GH1001,27.00040988
GH1002,27.17601432
GH1003,28.10534654
GH1004,29.31725556
GH1005,26.02608848
GH1006,28.59131033
GH1007,26.2236216
GH1008,28.82564624
GH1009,26.98554286
GH1011,27.98012887
GH1012,25.97366488
GH1013,27.28364285
GH1014,26.9211452
GH1016,28.00871925
GH1017,28.85963389
GH1019,28.019483
GH1020,27.75294826
GH1021,25.94111859
GH1022,27.87041435
GH1023,27.84610525
GH1024,26.30365678
GH1025,28.49587995
GH1026,27.42022703
GH1027,29.19235512
GH1028,28.49021529
GH1029,27.47687312
GH1030,26.10539371
GH1031,27.4351339
GH1032,27.873992
GH1033,27.10603488
GH1034,27.79468748
GH1035,31.15409852
GH1037,33.07827662
GH1038,27.37994206
GH1039,29.90575558
GH1040,28.76900016
GH1041,33.23450056
GH1043,31.10818537
GH1044,33.00672367
GH1045,31.32224795
GH1046,27.66589217
GH1047,33.20528311
GH1048,30.41619947
GH1049,30.81541455
GH1050,31.02232183
GH1051,30.52264373
GH1052,32.36784057
GH1053,33.91663869
GH1056,28.86974747
GH1057,32.3019271
GH1077,31.74627895
GH1079,28.36559279
GH1080,24.40963663
GH1081,29.22473581
GH1082,27.41959468
GH1083,25.34066469
GH1084,28.94072724
GH1085,30.42752879
GH1087,30.62579187
GH1088,31.17526383
GH1089,27.18167898
GH1090,26.72284158
GH1091,27.96019667
GH1092,28.30894619
GH1093,30.54648664
GH1094,27.71120903
GH1095,26.87702088
GH1096,29.29312552
GH1097,27.17336935
GH1098,27.46179732
GH1099,29.33546102
GH1100,28.90940009
GH1101,32.36155456
GH1102,23.36051108
GH1103,27.50456457
GH1104,28.86201899
GH1105,28.4052454
GH1106,28.27588107
GH1107,27.99622829
GH1108,29.53103908
GH1109,30.01689849
GH1110,28.30344038
GH1111,30.33362468
GH1113,27.58420255
GH1114,29.98659287
GH1115,28.21088714
GH1116,29.02897588
GH1117,28.17272557
GH1118,27.66317503
GH1119,26.52001138
GH1120,28.61516131
GH1121,29.02718705
GH1122,27.4351339
GH1123,30.52949266
GH1124,28.72813099
GH1125,29.68545842
GH1126,30.12552485
GH1127,28.75645428
GH1128,28.35992813
GH1129,28.50154461
GH1130,30.25193506
GH1131,28.72547211
GH1132,28.1276771
GH1133,27.68583367
GH1134,30.54649471
GH1135,26.84746408
GH1136,27.05347014
GH1137,27.82330866
GH1138,30.76591173
GH1139,28.64139739
GH1140,32.2798724
GH1141,26.76815885
GH1142,28.98485156
GH1143,28.51439091
GH1144,27.31886035
GH1145,27.15190347
GH1146,28.6092325
GH1147,28.00219103
GH1148,30.15195285
GH1149,27.96340197
GH1150,28.37009246
GH1151,28.39958074
GH1152,28.56984444
GH1153,30.5804746
GH1154,27.41393002
GH1155,29.48719534
GH1156,29.55608262
GH1157,28.42223938
GH1158,27.30630149
GH1159,27.64144491
GH1160,28.16732971
GH1161,31.87082057
GH1162,28.67714905
GH1163,26.88238166
GH1164,26.39294088
GH1165,28.31523519
GH1166,29.35690818
GH1167,28.41958325
GH1168,28.11607948
GH1169,29.13690158
GH1170,28.74512497
GH1171,28.58832896
GH1172,28.27349597
GH1173,28.60350848
GH1174,29.04535191
GH1175,29.43146123
GH1176,27.90109072
GH1177,27.07796542
GH1178,29.35690818
GH1179,28.83009486
GH1180,30.1547423
GH1181,28.66581973
GH1182,28.4335687
GH1183,27.37550644
GH1184,28.29603437
GH1185,30.26326428
GH1186,29.43738029
GH1187,27.5555465
GH1188,27.82271238
GH1189,28.5865145
GH1190,29.99701468
GH1191,29.48749461
GH1192,26.49059054
GH1193,30.91678123
GH1194,28.54003071
GH1195,29.44611608
GH1196,29.93054306
GH1197,29.70157362
GH1198,29.24780865
GH1199,30.6693361
GH1200,28.54119723
GH1201,27.48190593
GH1202,27.20433762
GH1204,26.79081749
GH1205,29.89183628
GH1206,27.7084923
GH1207,30.13863117
GH1208,29.22662101
GH1209,29.12307164
GH1210,28.77911292
GH1211,27.57168078
GH1212,28.22102381
GH1213,27.71415696
GH1214,28.36949618
GH1215,28.56567052
GH1216,27.71415696
GH1217,30.29069291
GH1218,30.71136978
GH1219,28.38798069
GH1220,30.49581137
GH1221,30.35568684
GH1222,29.34679023
GH1223,29.79166417
GH1224,29.32328887
GH1225,29.42488409
GH1226,27.41426429
GH1227,28.54718601
GH1228,27.93421573
GH1229,28.36770736
GH1230,30.13923916
GH1231,28.44522305
GH1232,29.34977161
GH1233,27.21560005
GH1234,26.69318145
GH1235,28.57425993
GH1236,29.29459692
GH1237,29.64415723
GH1238,29.52746144
GH1239,28.41004285
GH1240,28.65391916
GH1241,27.59519912
GH1242,26.88119481
GH1243,30.07631991
GH1244,27.66112197
GH1245,26.38296202
GH1246,26.88533542
GH1247,29.97287855
GH1248,31.10878165
GH1249,28.21264699
GH1250,27.43658865
GH1251,29.0403051
GH1252,28.53337411
GH1253,29.09633384
GH1254,28.34293415
GH1255,26.87012272
GH1256,27.73684884
GH1257,28.93205872
GH1258,29.9800207
GH1259,26.95509261
GH1260,27.430924
GH1261,29.81963598
GH1262,28.04631535
GH1263,29.91770945
GH1264,27.32896013
GH1265,27.51741979
GH1266,30.62579187
GH1267,27.75056316
GH1268,28.46847776
GH1269,26.85312874
GH1270,28.83578291
GH1271,27.31196615
GH1272,29.3265169
GH1273,29.72721342
GH1274,28.2806229
GH1391,29.75909899
GH1396,26.86445806
GH1540,30.29724163
GH1545,26.53024316
GH1574,26.50758452
GH1578,27.06603993
GH1580,27.01143646
GH1583,29.55369752
GH1584,29.52686516
GH1589,26.92949305
GH1613,27.28826082
GH1614,29.3399142
GH1644,28.21863871
GH1647,27.90675538
GH1655,27.4726992
GH1657,27.12503239
GH1662,27.23266092
GH1663,27.23832558
GH1664,27.64383001
GH1665,30.1612898
ZGH0347,30.23189227
ZGH0349,34.01681282
ZGH0367,29.95141267
ZGH0403,27.237635
ZGH0406,28.29761688
ZGH0408,28.72189446
ZGH0431,28.57414792
ZGH0457,28.44489802
ZGH0465,27.0117392
ZGH0489,29.40761024
ZGH0493,30.64905394
ZGH0496,27.42978896
ZGH0513,29.5727783
ZGH0520,29.95169741
ZGH0542,29.18696839
ZGH0544,28.27244686
ZGH0548,27.35728342
ZGH0554,29.71051773
ZGH0564,29.87807089
ZGH0567,28.50720927
ZGH0570,27.49584189
ZGH0580,30.68243846
ZGH0590,28.42912364
ZGH0607,28.50720927
ZGH0608,27.55498509
ZGH0609,27.19781661
ZGH0613,28.46261654
ZGH0627,27.23832558
ZGH0646,26.6277781
ZGH0652,27.82211611
ZGH0670,30.04233196
ZGH0678,28.02004857
ZGH0688,28.72246633
ZGH0691,29.55787144
ZGH0701,28.76661506
ZGH0708,29.37541141
ZGH0713,24.84783933
ZGH0730,32.58009935
ZGH0735,28.50154461
ZGH0740,27.35161876
ZGH0751,27.60984235
GH0101,33.15877369
GH0102,33.8248124
GH0103,32.97869876
GH0119,32.86123267
GH0122,32.94590366
GH0127,30.46599764
GH0197,29.6741291
GH0203,29.61690262
GH0206,29.04746039
GH0207,33.76101102
GH0208,29.30266591
GH0209,32.44026281
GH0210,27.10237375
GH0211,28.85841815
GH0212,30.94100737
GH0214,29.23170924
GH0215,28.70547235
GH0216,30.96388692
GH0217,30.29725193
GH0218,29.55608262
GH0219,30.6287806
GH0220,29.56144909
GH0222,29.05668123
GH0224,29.15515415
GH0225,32.22858533
GH0228,28.03704255
GH0229,28.27495824
GH0230,29.28282768
GH0231,29.55190869
GH0232,28.86408281
GH0233,28.18703616
GH0234,28.98187019
GH0235,32.06461535
GH0236,31.220285
GH0238,32.1164857
GH0239,30.75041438
GH0241,31.55858587
GH0242,29.39747357
GH0243,30.3425589
GH0244,30.87563828
GH0245,29.6479089
GH0246,32.13675904
GH0247,27.08537977
GH0248,27.88813893
GH0249,33.64235238
GH0252,31.96245216
GH0253,29.86495285
GH0256,27.7213457
GH0261,29.47941397
GH0265,28.21937302
GH0297,31.97993882
GH0419,28.50425424
GH0584,26.91543999
GH0586,30.84343945
GH0601,27.22345642
GH0640,27.54421718
GH0647,28.43923336
GH0655,27.50456457
GH0659,29.23215563
GH0830,28.14975367
GH0831,29.57782989
GH0833,30.37894155
GH1010,27.3248231
GH1042,32.22023748
GH1054,29.51434339
GH1058,26.78515283
GH1059,28.28482519
GH1060,32.32637436
GH1061,28.68432917
GH1062,29.56443046
GH1063,31.4018502
GH1064,32.21904493
GH1065,31.67375385
GH1066,28.51853859
GH1067,28.17865903
GH1068,33.28818177
GH1069,30.46718141
GH1070,29.78742229
GH1071,32.72647461
GH1072,28.4052454
GH1073,27.76666257
GH1074,28.13814164
GH1075,32.24051082
GH1076,30.44035783
GH1078,28.98962176
ZGH0390,30.25427638
GH0099,35.97020838
GH0100,34.64707506
GH0124,33.58749512
GH0200,26.51324918
GH0221,31.85114351
GH0254,26.53590782
GH0259,26.91339363
GH0340,29.79876637
GH0425,26.6775243
GH0643,29.09277726
GH0644,27.96701083
GH0648,27.26098421
GH0654,27.93779338
GH0794,29.81574558
GH1015,28.04270721
GH1018,28.48994365
GH1036,29.51551864
GH1055,29.41774691
GH1203,26.35463872
ZGH0709,28.88107679
GH0832,27.5272232
